vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
DDS,1.244619127E9,1.244619166E9,-73.983079,40.740889,-73.983079,40.740889,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24921794E9,1.24921794E9,-73.795318,40.632493,-73.795375,40.632432,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2536172E9,1.2536172E9,-73.972438,40.743407,-73.972555,40.743465,,5,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25386506E9,1.25386506E9,-73.98247,40.758985,-73.98247,40.758985,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24272306E9,1.24272306E9,-73.898678,40.75436,-73.898678,40.75436,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.250954639E9,1.250954707E9,-73.992744,40.768622,-73.997979,40.761303,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25474754E9,1.25474754E9,-73.923733,40.75801,-73.923732,40.758007,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.23304879E9,1.233048793E9,0.0,0.0,0.0,0.0,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24981854E9,1.24981854E9,-73.998417,40.723343,-73.998698,40.723083,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.3113309E9,1.3113309E9,-73.992152,40.743662,-73.991865,40.744135,4,1,0.09,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
CMT,1.236174004E9,1.236174021E9,-73.993938,40.754601,-73.993906,40.754663,,1,0.0,NOC,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25214612E9,1.25214612E9,-73.948295,40.744825,-73.948295,40.744825,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2535284E9,1.2535284E9,-73.781878,40.644783,-73.781597,40.64481,,1,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.255076349E9,1.255076349E9,-73.137393,41.366138,-73.137393,41.366138,,4,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23365844E9,1.2336585E9,-73.789795,40.643722,-73.789767,40.643723,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2512025E9,1.2512025E9,-73.987485,40.758422,-73.987487,40.758422,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.244294576E9,1.244295746E9,-74.00139,40.729122,-74.014443,40.702807,,1,4.2,CSH,2.5,0.0,,,0.0,0.0,2.5,
